question,sql
"Show all active interns with department and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"Count interns by department for active status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='active' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"How many interns does each institute have when current stage is active?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='active' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all completed interns with department and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"Count interns by department for completed status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='completed' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"How many interns does each institute have when current stage is completed?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='completed' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all pending interns with department and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"Count interns by department for pending status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='pending' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"How many interns does each institute have when current stage is pending?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='pending' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all dropped interns with department and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"Count interns by department for dropped status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='dropped' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"How many interns does each institute have when current stage is dropped?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='dropped' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
